Metodo,sizes,nroMatriz,tiempo
C,700,69,109341000
C,700,69,115691000
C,700,69,115579000
C,700,69,128470000
C,700,69,127560000
C,700,69,105198000
C,700,69,105065000
C,800,70,179489000
C,800,70,180597000
C,800,70,180338000
C,800,70,180780000
C,800,70,180000000
C,800,70,181612000
C,800,70,180158000
C,800,70,195320000
C,800,70,180865000
C,800,70,181634000
C,800,71,180305000
C,800,71,180456000
C,800,71,180769000
C,800,71,179903000
C,800,71,180236000
C,800,71,179887000
C,800,71,179647000
C,800,71,181024000
C,800,71,180775000
C,800,71,180973000
C,800,72,179882000
C,800,72,181501000
C,800,72,180155000
C,800,72,181099000
C,800,72,180705000
C,800,72,181181000
C,800,72,180305000
C,800,72,180798000
C,800,72,180270000
C,800,72,195901000
C,800,73,181169000
C,800,73,179879000
C,800,73,180975000
C,800,73,180495000
C,800,73,180605000
C,800,73,180366000
C,800,73,180867000
C,800,73,180748000
C,800,73,181467000
C,800,73,180095000
C,800,74,179918000
C,800,74,180958000
C,800,74,180630000
C,800,74,180951000
C,800,74,181171000
C,800,74,181970000
C,800,74,180952000
C,800,74,181108000
C,800,74,181162000
C,800,74,181657000
C,800,75,180370000
C,800,75,181191000
C,800,75,180982000
C,800,75,181793000
C,800,75,181047000
C,800,75,180538000
C,800,75,181022000
C,800,75,180221000
C,800,75,181089000
C,800,75,180841000
C,800,76,180219000
C,800,76,181009000
C,800,76,180488000
C,800,76,180659000
C,800,76,182087000
C,800,76,180027000
C,800,76,180749000
C,800,76,181667000
C,800,76,180672000
C,800,76,180398000
C,800,77,180273000
C,800,77,181809000
C,800,77,179941000
C,800,77,180609000
C,800,77,181613000
C,800,77,180681000
C,800,77,180172000
C,800,77,180699000
C,800,77,181791000
C,800,77,180552000
C,800,78,179812000
C,800,78,181318000
C,800,78,180640000
C,800,78,181265000
C,800,78,180292000
C,800,78,179850000
C,800,78,181066000
C,800,78,181113000
C,800,78,180517000
C,800,78,180847000
C,800,79,180042000
C,800,79,181578000
C,800,79,180651000
C,800,79,178960000
C,800,79,179393000
C,800,79,179162000
C,800,79,179486000
C,800,79,180247000
C,800,79,180574000
C,800,79,180262000
C,900,80,225890000
C,900,80,225544000
C,900,80,253338000
C,900,80,249307000
C,900,80,226767000
C,900,80,227000000
C,900,80,226129000
C,900,80,226561000
C,900,80,226188000
C,900,80,227032000
C,900,81,225684000
C,900,81,224978000
C,900,81,225548000
C,900,81,226425000
C,900,81,227141000
C,900,81,227937000
C,900,81,226316000
C,900,81,225678000
C,900,81,225877000
C,900,81,226473000
C,900,82,224760000
C,900,82,225786000
C,900,82,228947000
C,900,82,226860000
C,900,82,225965000
C,900,82,226328000
C,900,82,227068000
C,900,82,226090000
C,900,82,227881000
C,900,82,310755000
C,900,83,226883000
C,900,83,226673000
C,900,83,228458000
C,900,83,227171000
C,900,83,226581000
C,900,83,230673000
C,900,83,226044000
C,900,83,227587000
C,900,83,229220000
C,900,83,225906000
C,900,84,225576000
C,900,84,228188000
C,900,84,227431000
C,900,84,225872000
C,900,84,230543000
C,900,84,226829000
C,900,84,227419000
C,900,84,226231000
C,900,84,226448000
C,900,84,229279000
C,900,85,226667000
C,900,85,226166000
C,900,85,225832000
C,900,85,226279000
C,900,85,234624000
C,900,85,228067000
C,900,85,234882000
C,900,85,226574000
C,900,85,228932000
C,900,85,226220000
C,900,86,225483000
C,900,86,261052000
C,900,86,313890000
C,900,86,327092000
C,900,86,252261000
C,900,86,238080000
C,900,86,244168000
C,900,86,235587000
C,900,86,233176000
C,900,86,240633000
C,900,87,232341000
C,900,87,271921000
C,900,87,228367000
C,900,87,225626000
C,900,87,225806000
C,900,87,228260000
C,900,87,226509000
C,900,87,229647000
C,900,87,225868000
C,900,87,226597000
C,900,88,226657000
C,900,88,227705000
C,900,88,225831000
C,900,88,226243000
C,900,88,228317000
C,900,88,226550000
C,900,88,228109000
C,900,88,226381000
C,900,88,228085000
C,900,88,228591000
C,900,89,229715000
C,900,89,227448000
C,900,89,227403000
C,900,89,226763000
C,900,89,225728000
C,900,89,229009000
C,900,89,226056000
C,900,89,226312000
C,900,89,231830000
C,900,89,226410000
C,1000,90,312609000
C,1000,90,312194000
C,1000,90,313991000
C,1000,90,311804000
C,1000,90,312262000
C,1000,90,311496000
C,1000,90,312288000
C,1000,90,311663000
C,1000,90,312518000
C,1000,90,311922000
C,1000,91,312061000
C,1000,91,311946000
C,1000,91,312170000
C,1000,91,311859000
C,1000,91,313255000
C,1000,91,313260000
C,1000,91,311571000
C,1000,91,310551000
C,1000,91,308844000
C,1000,91,312518000
C,1000,92,311969000
C,1000,92,311876000
C,1000,92,311510000
C,1000,92,312913000
C,1000,92,312383000
C,1000,92,311637000
C,1000,92,311498000
C,1000,92,312072000
C,1000,92,312502000
C,1000,92,311751000
C,1000,93,310925000
C,1000,93,312497000
C,1000,93,312601000
C,1000,93,312265000
C,1000,93,312685000
C,1000,93,312192000
C,1000,93,311868000
C,1000,93,311849000
C,1000,93,312679000
C,1000,93,312372000
C,1000,94,312048000
C,1000,94,312038000
C,1000,94,313022000
C,1000,94,312343000
C,1000,94,311407000
C,1000,94,307222000
C,1000,94,313593000
C,1000,94,312009000
C,1000,94,312704000
C,1000,94,311696000
C,1000,95,312268000
C,1000,95,312716000
C,1000,95,311947000
C,1000,95,311440000
C,1000,95,312626000
C,1000,95,312442000
C,1000,95,312552000
C,1000,95,314657000
C,1000,95,311999000
C,1000,95,311704000
C,1000,96,312166000
C,1000,96,312681000
C,1000,96,312253000
C,1000,96,312314000
C,1000,96,311006000
C,1000,96,313892000
C,1000,96,311939000
C,1000,96,312433000
C,1000,96,312527000
C,1000,96,311436000
C,1000,97,310523000
C,1000,97,312444000
C,1000,97,312741000
C,1000,97,312524000
C,1000,97,312523000
C,1000,97,311144000
C,1000,97,312868000
C,1000,97,312857000
C,1000,97,312399000
C,1000,97,312987000
C,1000,98,312496000
C,1000,98,312502000
C,1000,98,312637000
C,1000,98,311972000
C,1000,98,315432000
C,1000,98,312774000
C,1000,98,311862000
C,1000,98,312607000
C,1000,98,312014000
C,1000,98,312291000
C,1000,99,310725000
C,1000,99,312639000
C,1000,99,312729000
C,1000,99,321157000
C,1000,99,312116000
C,1000,99,312588000
C,1000,99,312790000
C,1000,99,312359000
C,1000,99,313235000
C,1000,99,313100000
C,1100,100,423148000
C,1100,100,431518000
C,1100,100,425351000
C,1100,100,429229000
C,1100,100,421335000
C,1100,100,437836000
C,1100,100,424971000
C,1100,100,435132000
C,1100,100,431856000
C,1100,100,430649000
C,1100,101,437158000
C,1100,101,439134000
C,1100,101,425804000
C,1100,101,427589000
C,1100,101,431170000
C,1100,101,427092000
C,1100,101,426242000
C,1100,101,433115000
C,1100,101,426881000
C,1100,101,443909000
C,1100,102,425992000
C,1100,102,434478000
C,1100,102,441278000
C,1100,102,434395000
C,1100,102,431935000
C,1100,102,433195000
C,1100,102,434117000
C,1100,102,437003000
C,1100,102,445130000
C,1100,102,431804000
C,1100,103,438922000
C,1100,103,435171000
C,1100,103,446758000
C,1100,103,445200000
C,1100,103,453000000
C,1100,103,440798000
C,1100,103,440884000
C,1100,103,435423000
C,1100,103,435473000
C,1100,103,434269000
C,1100,104,424201000
C,1100,104,445783000
C,1100,104,436347000
C,1100,104,436270000
C,1100,104,435098000
C,1100,104,436745000
C,1100,104,446346000
C,1100,104,431476000
C,1100,104,443774000
C,1100,104,438766000
C,1100,105,431113000
C,1100,105,435198000
C,1100,105,428932000
C,1100,105,427699000
C,1100,105,438611000
C,1100,105,435975000
C,1100,105,444301000
C,1100,105,432653000
C,1100,105,430277000
C,1100,105,435371000
C,1100,106,440581000
C,1100,106,434659000
C,1100,106,429068000
C,1100,106,432999000
C,1100,106,432932000
C,1100,106,431020000
C,1100,106,434670000
C,1100,106,437102000
C,1100,106,436386000
C,1100,106,429155000
C,1100,107,427656000
C,1100,107,432394000
C,1100,107,429101000
C,1100,107,431696000
C,1100,107,427620000
C,1100,107,428055000
C,1100,107,430798000
C,1100,107,436561000
C,1100,107,435148000
C,1100,107,427340000
C,1100,108,428755000
C,1100,108,434007000
C,1100,108,421275000
C,1100,108,426606000
C,1100,108,432730000
C,1100,108,427578000
C,1100,108,428325000
C,1100,108,432967000
C,1100,108,441575000
C,1100,108,435073000
C,1100,109,420497000
C,1100,109,428811000
C,1100,109,436219000
C,1100,109,431358000
C,1100,109,435188000
C,1100,109,438541000
C,1100,109,434484000
C,1100,109,430224000
C,1100,109,438984000
C,1100,109,439849000
C,1200,110,580220000
C,1200,110,594144000
C,1200,110,589826000
C,1200,110,586107000
C,1200,110,583003000
C,1200,110,594262000
C,1200,110,578493000
C,1200,110,582798000
C,1200,110,586207000
C,1200,110,583479000
C,1200,111,583039000
C,1200,111,576546000
C,1200,111,587183000
C,1200,111,588658000
C,1200,111,587471000
C,1200,111,585896000
C,1200,111,589020000
C,1200,111,587205000
C,1200,111,590228000
C,1200,111,592075000
C,1200,112,581280000
C,1200,112,588234000
C,1200,112,591248000
C,1200,112,588583000
C,1200,112,589041000
C,1200,112,583232000
C,1200,112,592547000
C,1200,112,580575000
C,1200,112,598086000
C,1200,112,583435000
C,1200,113,586377000
C,1200,113,587228000
C,1200,113,584286000
C,1200,113,592144000
C,1200,113,592175000
C,1200,113,587000000
C,1200,113,582248000
C,1200,113,598641000
C,1200,113,584590000
C,1200,113,584819000
C,1200,114,583789000
C,1200,114,579995000
C,1200,114,589165000
C,1200,114,585995000
C,1200,114,586196000
C,1200,114,589239000
C,1200,114,581097000
C,1200,114,589001000
C,1200,114,576189000
C,1200,114,587465000
C,1200,115,581224000
C,1200,115,585220000
C,1200,115,588384000
C,1200,115,583121000
C,1200,115,583331000
C,1200,115,584783000
C,1200,115,581341000
C,1200,115,588243000
C,1200,115,582645000
C,1200,115,583692000
C,1200,116,585996000
C,1200,116,586434000
C,1200,116,590090000
C,1200,116,584910000
C,1200,116,586972000
C,1200,116,588722000
C,1200,116,582753000
C,1200,116,620010000
C,1200,116,584024000
C,1200,116,586613000
C,1200,117,594089000
C,1200,117,588640000
C,1200,117,591393000
C,1200,117,584060000
C,1200,117,579313000
C,1200,117,591577000
C,1200,117,579299000
C,1200,117,587291000
C,1200,117,585641000
C,1200,117,582258000
C,1200,118,588530000
C,1200,118,581987000
C,1200,118,581958000
C,1200,118,583229000
C,1200,118,590243000
C,1200,118,581235000
C,1200,118,594506000
C,1200,118,583287000
C,1200,118,590182000
C,1200,118,588884000
C,1200,119,590511000
C,1200,119,586071000
C,1200,119,589680000
C,1200,119,583004000
C,1200,119,591986000
C,1200,119,581901000
C,1200,119,583089000
C,1200,119,578181000
C,1200,119,591769000
C,1200,119,580004000
C,1300,120,783822000
C,1300,120,797527000
C,1300,120,798096000
C,1300,120,813715000
C,1300,120,815192000
C,1300,120,802541000
C,1300,120,807200000
C,1300,120,804112000
C,1300,120,811158000
C,1300,120,807476000
C,1300,121,811826000
C,1300,121,815647000
C,1300,121,802499000
C,1300,121,800819000
C,1300,121,793172000
C,1300,121,797776000
C,1300,121,785552000
C,1300,121,795005000
C,1300,121,795764000
C,1300,121,799327000
C,1300,122,796504000
C,1300,122,789605000
C,1300,122,803887000
C,1300,122,795872000
C,1300,122,807983000
C,1300,122,806355000
C,1300,122,794043000
C,1300,122,797141000
C,1300,122,794072000
C,1300,122,813004000
C,1300,123,961444000
C,1300,123,805550000
C,1300,123,789638000
C,1300,123,807345000
C,1300,123,807083000
C,1300,123,811345000
C,1300,123,803467000
C,1300,123,812337000
C,1300,123,796492000
C,1300,123,815331000
C,1300,124,801802000
C,1300,124,816091000
C,1300,124,804424000
C,1300,124,788562000
C,1300,124,796237000
C,1300,124,789804000
C,1300,124,803744000
C,1300,124,791854000
C,1300,124,794549000
C,1300,124,790546000
C,1300,125,800503000
C,1300,125,802670000
C,1300,125,788457000
C,1300,125,790208000
C,1300,125,795171000
C,1300,125,806604000
C,1300,125,792997000
C,1300,125,797709000
C,1300,125,810047000
C,1300,125,802537000
C,1300,126,803416000
C,1300,126,795616000
C,1300,126,791165000
C,1300,126,797511000
C,1300,126,805877000
C,1300,126,795127000
C,1300,126,793071000
C,1300,126,792371000
C,1300,126,799513000
C,1300,126,792291000
C,1300,127,800879000
C,1300,127,802759000
C,1300,127,795409000
C,1300,127,790504000
C,1300,127,809617000
C,1300,127,795079000
C,1300,127,802648000
C,1300,127,809095000
C,1300,127,810707000
C,1300,127,786997000
C,1300,128,802182000
C,1300,128,810788000
C,1300,128,802221000
C,1300,128,804048000
C,1300,128,783953000
C,1300,128,797150000
C,1300,128,793144000
C,1300,128,801621000
C,1300,128,791567000
C,1300,128,791337000
C,1300,129,791498000
C,1300,129,794601000
C,1300,129,809552000
C,1300,129,791456000
C,1300,129,797993000
C,1300,129,795737000
C,1300,129,789949000
C,1300,129,800891000
C,1300,129,784623000
C,1300,129,790552000
C,1400,130,1018720000
C,1400,130,1025350000
C,1400,130,1044190000
C,1400,130,1056350000
C,1400,130,1029390000
C,1400,130,1031300000
C,1400,130,1039580000
C,1400,130,1002470000
C,1400,130,1044700000
C,1400,130,1022720000
C,1400,131,1008030000
C,1400,131,1029510000
C,1400,131,1004350000
C,1400,131,1027140000
C,1400,131,1038560000
C,1400,131,1026670000
C,1400,131,1052540000
C,1400,131,1022850000
C,1400,131,1041540000
C,1400,131,1065060000
C,1400,132,1052920000
C,1400,132,1057850000
C,1400,132,1004190000
C,1400,132,1024210000
C,1400,132,1046210000
C,1400,132,1016850000
C,1400,132,1002990000
C,1400,132,1076510000
C,1400,132,1042470000
C,1400,132,1047710000
C,1400,133,1018570000
C,1400,133,1036020000
C,1400,133,1031630000
C,1400,133,1050090000
C,1400,133,999308000
C,1400,133,1040460000
C,1400,133,1045050000
C,1400,133,1234630000
C,1400,133,1463880000
C,1400,133,1382460000
C,1400,134,1384070000
C,1400,134,1416790000
C,1400,134,1412180000
C,1400,134,1336150000
C,1400,134,1242600000
C,1400,134,1007520000
C,1400,134,990942000
C,1400,134,1005120000
C,1400,134,981730000
C,1400,134,1004530000
C,1400,135,1030870000
