CompPpal,MetodoEleccion,NroPersona,VerdaderosP,FalsosN,FalsosP
37,KNN,11,3,0,0
37,KNN,12,3,0,0
37,KNN,13,3,0,0
37,KNN,14,3,0,0
37,KNN,15,3,0,1
37,KNN,16,3,0,0
37,KNN,17,3,0,2
37,KNN,18,3,0,1
37,KNN,19,2,1,0
37,KNN,20,3,0,0
37,KNN,21,3,0,0
37,KNN,22,3,0,0
37,KNN,23,3,0,0
37,KNN,24,3,0,0
37,KNN,25,2,1,1
37,KNN,26,3,0,0
37,KNN,27,3,0,0
37,KNN,28,2,1,0
37,KNN,29,3,0,0
37,KNN,30,3,0,0
37,KNN,31,3,0,0
37,KNN,32,3,0,0
37,KNN,33,3,0,0
37,KNN,34,3,0,0
37,KNN,35,2,1,0
37,KNN,36,2,1,0
37,KNN,37,3,0,1
37,KNN,38,3,0,0
37,KNN,39,3,0,0
37,KNN,40,2,1,1
37,KNN,41,2,1,0
37,V,1,2,1,0
37,V,2,3,0,0
37,V,3,3,0,1
37,V,4,3,0,0
37,V,5,2,1,0
37,V,6,3,0,0
37,V,7,3,0,0
37,V,8,3,0,0
37,V,9,3,0,0
37,V,10,2,1,0
37,V,11,3,0,0
37,V,12,3,0,0
37,V,13,3,0,0
37,V,14,3,0,0
37,V,15,3,0,0
37,V,16,3,0,0
37,V,17,3,0,0
37,V,18,3,0,0
37,V,19,2,1,0
37,V,20,3,0,0
37,V,21,3,0,0
37,V,22,3,0,0
37,V,23,2,1,0
37,V,24,3,0,0
37,V,25,3,0,0
37,V,26,3,0,0
37,V,27,3,0,1
37,V,28,2,1,0
37,V,29,3,0,0
37,V,30,3,0,0
37,V,31,3,0,0
37,V,32,3,0,0
37,V,33,3,0,0
37,V,34,3,0,0
37,V,35,3,0,0
37,V,36,3,0,0
37,V,37,3,0,1
37,V,38,3,0,2
37,V,39,3,0,0
